street,city,state,zip
830 Bow Lane,Middletown,CT,06457
1 Russell St.,Middletown,CT,06457
104 Bell Street,Middletown,CT,06457
106 Northview Drive,Middletown,CT,06457
108 Barry Court,Middletown,CT,06457
12 Longworth Avenue,Middletown,CT,06457
120 Scenic View Drive,Middletown,CT,06457
122 Baldwin Drive,Middletown,CT,06457
131 Sand Hill Rd.,Middletown,CT,06457
132 Margarite Rd.,Middletown,CT,06457
139 Carriage Crossing Lane,Middletown,CT,06457
140 Burgundy Hill Lane,Middletown,CT,06457
144 Ballfall Rd.,Middletown,CT,06457
144 Trolley Crossing Lane,Middletown,CT,06457
